id,category,firstname,lastname,gender,dob,previous_school,doj,class,post,salary,class_teacher_of,roll_no,emp_no,total_marks,city,aadhar_number,contact_number,blood_group,subject_teaches,hs_stream,sec_percent
1,student,Hoo,Boo,m,3/14/1995,,,XI,,,,90,,875,pune,6366-45345-45345,92342323,B+,,arts,80
2,teacher,Foo,Bar,f,3/14/1986,KVS Sec School,3/22/2010,,assistant teacher,40000,VII,,VG001,,kolkata,3442-23422-3422,73496943,O-,Physics-Chemistry-Math,,
3,student,Rama,Murugan,m,3/14/2000,,,VIII,,,,1003,,672,chennai,8929-2092-2322,90113121,B-,,science,82
4,student,Ramakrishna,Murugan,m,3/14/2001,,,VIII,,,,1004,,672,chennai,8929-2092-2322,90113121,B-,,science,82
5,teacher,Foo,Bar,f,3/14/2000,KVS Sec School,10/23/2002,,assistant teacher,38000,VII,,VG001,,kolkata,2423-1486-7115,735969432,O-,Physics-Chemistry-Math,,
6,teacher,Woo,Baa,f,3/14/1989,Rkms English Sec School,10/23/2010,,assistant teacher,55000,VII,,HG001,,kolkata,2423-1486-7114,734969432,O+,Physics-Chemistry,,
7,teacher,Malabika,Das,f,3/14/1970,Rkms English Sec School,10/23/1995,,assistant teacher,45000,IX,,Hj001,,kolkata,2423-1486-7112,734969478,O+,Fine/Arts,,
8,student,prashant,kumar,m,1/14/1981,,,X,,,,1005,,742,kolkata,8929-2092-2425,90113157,O+,,science,85
9,student,Rahul,Sen,m,12/18/1988,,,XI,,,,1006,,785,kolkata,8929-2092-9535,90113721,O+,,science,86
10,teacher,Div,pathak,f,8/14/1979,KPS School,10/23/1992,,Japanese teacher,80000,N3,,VG0011,,Pune,3442-23422-3455,73496943,O-,N5-N3,,
11,teacher,mohini,Baar,f,7/14/1967,MNPS School,10/23/1989,,assistant teacher,85000,X,,VG0010,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
12,teacher,mohin,Baar,f,6/14/1967,MNPS School,10/23/1990,,assistant teacher,85000,X,,VG009,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
13,teacher,mohishi,Baar,f,3/16/1967,MNPS School,10/23/1991,,assistant teacher,85000,X,,VG008,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
14,student,Rameshwaram,Murugan,m,3/17/2000,,,VIII,,,,1007,,672,chennai,8929-2092-2322,90113121,B-,,science,82
15,student,Rakesh,Murugan,m,07-11-2000,,,VIII,,,,1008,,672,chennai,8929-2092-2322,90113121,B-,,science,82
16,student,Sunita,Muru,m,3/14/2006,,,VIII,,,,1009,,672,chennai,8929-2092-2322,90113121,B-,,science,82
17,teacher,Sunil,Baar,f,2/19/1967,MNPS School,10-02-1994,,assistant teacher,85000,X,,VG007,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
18,student,suni,Murugan,m,3/18/2000,,,VIII,,,,1010,,672,chennai,8929-2092-2322,90113121,B-,,science,82
19,student,Rama,Murugan,m,2/16/2001,,,VIII,,,,1011,,672,chennai,8929-2092-2322,90113121,B-,,science,82
20,teacher,koo,Baar,f,9/14/1966,MNPS School,11/22/1989,,assistant teacher,85000,X,,VG006,,Pune,3442-23422-3455,73496943,A+,History-Civics-Geography,,
